hcp_id,specialty,territory_id,region,city_tier,years_in_practice,monthly_patient_volume,category_awareness,brand_awareness,recommendation_rate,digital_engagement,rep_visits_last_quarter,pre_recall_prescriber,competitor_preference
HCP00571,Pediatrician,TR16,West,T1,8,693.0,3,4,0.487,0.353,2,True,D3 Must Forte
HCP00572,Neonatologist,TR08,North,T2,6,43.0,5,5,0.254,0.761,3,False,D3 Must Forte
HCP00573,Neonatologist,TR27,South,T2,8,105.0,4,4,0.203,0.771,2,False,Arachitol Kids
HCP00574,Pediatrician,TR27,South,T2,9,171.0,3,3,0.198,0.454,1,True,Ultra D3
HCP00575,Pediatrician,TR23,South,T1,7,568.0,3,3,0.258,0.706,12,True,Uprise-D3
HCP00576,Obstetrician-Gynecologist,TR16,West,T1,11,338.0,5,1,0.049,0.488,4,False,Arachitol Kids
HCP00577,Pediatrician,TR13,West,T1,4,412.0,4,5,0.354,0.781,1,False,D3 Must Forte
HCP00578,Neonatologist,TR29,South,T2,8,112.0,5,4,0.339,0.484,3,False,Arachitol Kids
HCP00579,Pediatrician,TR18,West,T3,13,271.0,4,3,0.107,0.637,11,False,D3 Must Forte
HCP00580,General Practitioner,TR18,West,T3,17,42.0,3,2,0.018,0.36,7,False,Uprise-D3
HCP00581,General Practitioner,TR03,North,T2,5,78.0,3,3,0.098,0.488,5,False,Arachitol Kids
HCP00582,Pediatrician,TR09,North,T2,8,408.0,4,4,0.225,0.719,6,False,Uprise-D3
HCP00583,General Practitioner,TR14,West,T1,10,184.0,4,5,0.198,0.473,5,False,Arachitol Kids
HCP00584,Pediatrician,TR26,South,T1,22,196.0,5,5,0.629,0.464,5,True,No alternative (DePURA loyal)
HCP00585,Pediatrician,TR30,South,T2,13,148.0,5,3,0.128,0.501,9,True,Uprise-D3
HCP00586,Pediatrician,TR36,East,T2,14,319.0,4,4,0.159,0.37,5,False,Other / Generic
HCP00587,Pediatrician,TR16,West,T1,8,454.0,4,2,0.08,0.873,5,False,Arachitol Kids
HCP00588,Pediatrician,TR16,West,T1,32,111.0,3,5,0.467,0.282,4,True,Arachitol Kids
HCP00589,Pediatrician,TR28,South,T1,3,393.0,4,4,0.184,0.593,5,False,Arachitol Kids
HCP00590,Pediatrician,TR13,West,T1,8,405.0,4,3,0.215,0.62,5,True,Other / Generic
HCP00591,Pediatrician,TR20,Central,T2,11,601.0,5,3,0.307,0.339,6,True,Arachitol Kids
HCP00592,Pediatrician,TR25,South,T3,3,341.0,4,3,0.414,0.901,7,False,Uprise-D3
HCP00593,Obstetrician-Gynecologist,TR10,North,T2,10,36.0,5,3,0.041,0.714,6,False,Kidrich D3 Nano
HCP00594,Pediatrician,TR12,West,T1,16,284.0,4,2,0.154,0.578,2,False,Ultra D3
HCP00595,General Practitioner,TR14,West,T1,26,317.0,2,4,0.067,0.171,5,False,Kidrich D3 Nano
HCP00596,Pediatrician,TR22,Central,T3,40,343.0,4,4,0.9,0.245,6,True,D3 Must Forte
HCP00597,Pediatrician,TR12,West,T1,21,261.0,3,4,0.181,0.58,4,True,Kidrich D3 Nano
HCP00598,Pediatrician,TR09,North,T2,19,133.0,4,4,0.331,0.448,8,False,Uprise-D3
HCP00599,Pediatrician,TR05,North,T2,12,750.0,4,4,0.352,0.626,1,True,Uprise-D3
HCP00600,Pediatrician,TR28,South,T1,7,539.0,3,5,0.594,0.631,9,False,Uprise-D3
HCP00601,General Practitioner,TR31,East,T1,27,178.0,4,5,0.28,0.286,9,False,Arachitol Kids
HCP00602,Pediatrician,TR32,East,T3,33,184.0,4,4,0.337,0.188,10,True,Arachitol Kids
HCP00603,Pediatrician,TR29,South,T2,5,583.0,5,4,0.376,0.736,4,True,Arachitol Kids
HCP00604,Obstetrician-Gynecologist,TR04,North,T2,4,49.0,5,3,0.047,0.785,8,False,Other / Generic
HCP00605,Pediatrician,TR03,North,T2,14,209.0,4,4,0.357,0.559,4,True,D3 Must Forte
HCP00606,General Practitioner,TR18,West,T3,7,488.0,3,2,0.063,0.734,13,False,Kidrich D3 Nano
HCP00607,General Practitioner,TR19,Central,T2,6,147.0,3,4,0.126,0.495,10,False,D3 Must Forte
HCP00608,Pediatrician,TR26,South,T1,20,388.0,4,4,0.095,0.208,3,False,Uprise-D3
HCP00609,Pediatrician,TR09,North,T2,9,677.0,5,5,0.28,0.624,9,False,Arachitol Kids
HCP00610,Pediatrician,TR33,East,T2,11,636.0,3,4,0.578,0.842,5,True,D3 Must Forte
HCP00611,General Practitioner,TR13,West,T1,17,126.0,4,4,0.161,0.481,6,False,Ultra D3
HCP00612,Neonatologist,TR22,Central,T3,2,124.0,5,3,0.447,0.56,6,True,Other / Generic
HCP00613,Pediatrician,TR31,East,T1,22,584.0,3,4,0.188,0.567,6,False,Arachitol Kids
HCP00614,Neonatologist,TR19,Central,T2,12,73.0,5,2,0.297,0.678,6,True,D3 Must Forte
HCP00615,Pediatrician,TR27,South,T2,13,468.0,4,5,0.597,0.623,4,True,Ultra D3
HCP00616,Pediatrician,TR27,South,T2,11,505.0,5,4,0.778,0.751,6,True,No alternative (DePURA loyal)
HCP00617,Pediatrician,TR28,South,T1,34,316.0,4,3,0.238,0.537,6,True,Arachitol Kids
HCP00618,Neonatologist,TR28,South,T1,21,314.0,4,3,0.334,0.519,7,True,Arachitol Kids
HCP00619,Pediatrician,TR14,West,T1,13,323.0,4,4,0.435,0.666,7,True,Ultra D3
HCP00620,General Practitioner,TR14,West,T1,2,255.0,3,4,0.174,0.879,8,False,Arachitol Kids
HCP00621,Pediatrician,TR28,South,T1,10,124.0,5,4,0.377,0.637,9,False,Kidrich D3 Nano
HCP00622,Obstetrician-Gynecologist,TR22,Central,T3,10,58.0,5,2,0.258,0.534,13,True,Kidrich D3 Nano
HCP00623,Obstetrician-Gynecologist,TR23,South,T1,3,117.0,3,3,0.133,,4,True,D3 Must Forte
HCP00624,General Practitioner,TR15,West,T2,29,179.0,3,2,0.014,0.566,4,False,Uprise-D3
HCP00625,General Practitioner,TR08,North,T2,5,93.0,4,4,0.099,0.779,7,False,Ultra D3
HCP00626,Pediatrician,TR16,West,T1,5,585.0,4,4,0.205,0.548,4,True,Arachitol Kids
HCP00627,Neonatologist,TR35,East,T2,12,128.0,3,3,0.252,0.667,1,True,Kidrich D3 Nano
HCP00628,General Practitioner,TR12,West,T1,5,213.0,3,3,0.086,0.787,4,True,Ultra D3
HCP00629,Pediatrician,TR12,West,T1,28,262.0,5,4,0.406,0.641,5,True,Kidrich D3 Nano
HCP00630,Obstetrician-Gynecologist,TR04,North,T2,15,86.0,5,5,0.132,0.505,5,False,Ultra D3
HCP00631,General Practitioner,TR16,West,T1,5,257.0,3,4,0.072,0.679,6,False,D3 Must Forte
HCP00632,General Practitioner,TR12,West,T1,22,123.0,4,3,0.112,0.416,1,False,Arachitol Kids
HCP00633,General Practitioner,TR25,South,T3,15,117.0,3,3,0.064,0.449,8,False,D3 Must Forte
HCP00634,Pediatrician,TR04,North,T2,7,229.0,5,4,0.128,0.464,8,False,Uprise-D3
HCP00635,Pediatrician,TR10,North,T2,9,136.0,5,5,0.243,0.547,6,False,Uprise-D3
HCP00636,Pediatrician,TR02,North,T1,10,192.0,5,4,0.663,0.505,5,True,Arachitol Kids
HCP00637,Obstetrician-Gynecologist,TR01,North,T1,12,85.0,4,2,0.024,0.506,7,False,Kidrich D3 Nano
HCP00638,General Practitioner,TR28,South,T1,30,97.0,3,4,0.187,0.354,5,False,Kidrich D3 Nano
HCP00639,Obstetrician-Gynecologist,TR32,East,T3,17,102.0,5,4,0.534,0.49,4,True,Uprise-D3
HCP00640,Pediatrician,TR27,South,T2,21,206.0,4,5,0.617,0.3,6,True,Arachitol Kids
HCP00641,Neonatologist,TR31,East,T1,7,333.0,4,4,0.349,0.923,13,True,D3 Must Forte
HCP00642,Pediatrician,TR02,North,T1,19,261.0,4,4,0.339,0.446,12,False,D3 Must Forte
HCP00643,Pediatrician,TR31,East,T1,6,350.0,4,5,0.244,0.451,6,False,D3 Must Forte
HCP00644,Neonatologist,TR16,West,T1,37,339.0,5,4,0.279,0.562,4,True,Arachitol Kids
HCP00645,General Practitioner,TR28,South,T1,15,216.0,2,5,0.428,0.476,8,True,Arachitol Kids
HCP00646,Neonatologist,TR23,South,T1,13,235.0,5,2,0.228,0.547,12,True,Arachitol Kids
HCP00647,General Practitioner,TR14,West,T1,12,431.0,4,4,0.166,0.43,4,False,Other / Generic
HCP00648,Pediatrician,TR11,North,T3,20,313.0,5,3,0.331,0.563,5,True,D3 Must Forte
HCP00649,Pediatrician,TR04,North,T2,15,484.0,5,4,0.254,0.379,6,False,Arachitol Kids
HCP00650,Obstetrician-Gynecologist,TR15,West,T2,22,146.0,4,2,0.025,0.454,2,False,Kidrich D3 Nano
HCP00651,Pediatrician,TR18,West,T3,19,158.0,4,4,0.353,0.255,7,True,Arachitol Kids
HCP00652,General Practitioner,TR36,East,T2,2,68.0,4,3,0.056,0.76,8,False,Uprise-D3
HCP00653,Pediatrician,TR01,North,T1,27,354.0,5,3,0.177,0.345,5,False,Ultra D3
HCP00654,Pediatrician,TR23,South,T1,13,231.0,3,5,0.201,0.676,5,False,Arachitol Kids
HCP00655,Obstetrician-Gynecologist,TR19,Central,T2,13,122.0,5,4,0.058,0.365,8,False,D3 Must Forte
HCP00656,Neonatologist,TR01,North,T1,17,247.0,4,4,0.416,0.456,7,True,Arachitol Kids
HCP00657,Pediatrician,TR13,West,T1,14,289.0,5,3,0.118,0.422,7,False,Arachitol Kids
HCP00658,Pediatrician,TR16,West,T1,4,337.0,4,4,0.344,0.588,4,False,D3 Must Forte
HCP00659,Pediatrician,TR18,West,T3,28,275.0,4,5,0.497,0.738,3,True,Uprise-D3
HCP00660,Pediatrician,TR10,North,T2,28,635.0,4,3,0.339,0.341,11,True,Ultra D3
HCP00661,Obstetrician-Gynecologist,TR01,North,T1,28,72.0,4,3,0.092,0.309,9,False,Arachitol Kids
HCP00662,Pediatrician,TR12,West,T1,12,863.0,5,3,0.327,0.758,8,False,Uprise-D3
HCP00663,Pediatrician,TR29,South,T2,31,839.0,4,3,0.609,0.709,9,True,Arachitol Kids
HCP00664,General Practitioner,TR28,South,T1,11,78.0,3,3,0.054,0.803,5,False,Other / Generic
HCP00665,General Practitioner,TR07,North,T3,5,89.0,4,2,0.062,0.741,3,False,D3 Must Forte
HCP00666,Pediatrician,TR24,South,T1,20,271.0,5,5,0.451,0.354,5,True,Arachitol Kids
HCP00667,Obstetrician-Gynecologist,TR33,East,T2,10,99.0,3,5,0.634,0.861,8,True,No alternative (DePURA loyal)
HCP00668,Pediatrician,TR06,North,T2,9,545.0,4,5,0.709,0.497,6,True,No alternative (DePURA loyal)
HCP00669,Pediatrician,TR04,North,T2,10,181.0,4,5,0.552,0.627,8,True,Uprise-D3
HCP00670,Obstetrician-Gynecologist,TR01,North,T1,5,337.0,5,4,0.135,0.573,8,False,Uprise-D3
HCP00671,Pediatrician,TR06,North,T2,12,430.0,5,5,0.172,0.656,2,False,Arachitol Kids
HCP00672,Neonatologist,TR28,South,T1,14,168.0,5,2,0.098,0.447,6,False,Kidrich D3 Nano
HCP00673,General Practitioner,TR28,South,T1,4,162.0,5,5,0.337,0.633,6,False,D3 Must Forte
HCP00674,Obstetrician-Gynecologist,TR20,Central,T2,4,176.0,4,4,0.34,0.517,3,True,Arachitol Kids
HCP00675,Pediatrician,TR13,West,T1,13,281.0,4,4,0.29,,4,False,Ultra D3
HCP00676,Pediatrician,TR28,South,T1,18,122.0,4,4,0.482,0.238,3,True,Other / Generic
HCP00677,Obstetrician-Gynecologist,TR08,North,T2,12,117.0,4,4,0.332,0.734,7,False,D3 Must Forte
HCP00678,Obstetrician-Gynecologist,TR04,North,T2,16,110.0,4,3,0.217,0.519,5,False,D3 Must Forte
HCP00679,Obstetrician-Gynecologist,TR02,North,T1,22,76.0,4,5,0.283,0.319,4,True,Ultra D3
HCP00680,Pediatrician,TR30,South,T2,10,167.0,4,4,0.458,0.503,5,True,Arachitol Kids
HCP00681,General Practitioner,TR26,South,T1,2,94.0,3,1,0.037,0.655,3,False,Arachitol Kids
HCP00682,Pediatrician,TR24,South,T1,8,470.0,4,3,0.212,0.747,6,True,Other / Generic
HCP00683,Pediatrician,TR26,South,T1,12,407.0,3,2,0.037,0.861,3,False,Ultra D3
HCP00684,Pediatrician,TR05,North,T2,19,198.0,4,4,0.694,0.766,6,True,Arachitol Kids
HCP00685,General Practitioner,TR14,West,T1,6,146.0,3,2,0.017,0.721,8,False,D3 Must Forte
HCP00686,Pediatrician,TR28,South,T1,8,673.0,4,4,0.619,0.609,10,True,No alternative (DePURA loyal)
HCP00687,Pediatrician,TR32,East,T3,17,571.0,5,4,0.569,0.262,8,True,Arachitol Kids
HCP00688,Obstetrician-Gynecologist,TR18,West,T3,3,163.0,4,4,0.334,0.86,7,True,Arachitol Kids
HCP00689,Neonatologist,TR04,North,T2,19,110.0,3,4,0.16,0.487,2,False,Uprise-D3
HCP00690,Pediatrician,TR36,East,T2,8,187.0,4,3,0.278,0.628,4,True,Uprise-D3
HCP00691,Obstetrician-Gynecologist,TR14,West,T1,19,154.0,5,4,0.191,0.143,5,False,Ultra D3
HCP00692,Obstetrician-Gynecologist,TR13,West,T1,20,165.0,4,4,0.135,0.675,2,False,D3 Must Forte
HCP00693,Pediatrician,TR04,North,T2,30,411.0,5,5,0.663,0.591,4,True,Uprise-D3
HCP00694,General Practitioner,TR01,North,T1,18,266.0,5,3,0.084,0.513,8,False,Arachitol Kids
HCP00695,Neonatologist,TR23,South,T1,6,227.0,4,3,0.094,0.651,2,False,Kidrich D3 Nano
HCP00696,General Practitioner,TR23,South,T1,13,272.0,4,4,0.152,0.475,5,True,Arachitol Kids
HCP00697,Pediatrician,TR10,North,T2,7,245.0,5,4,0.345,0.727,4,True,Arachitol Kids
HCP00698,General Practitioner,TR05,North,T2,6,245.0,3,3,0.041,0.798,3,False,Ultra D3
HCP00699,General Practitioner,TR19,Central,T2,5,328.0,4,3,0.117,0.718,6,False,Arachitol Kids
HCP00700,General Practitioner,TR16,West,T1,8,130.0,3,3,0.055,0.378,4,True,Kidrich D3 Nano
HCP00701,Pediatrician,TR12,West,T1,26,269.0,5,4,0.271,,4,False,Uprise-D3
HCP00702,Pediatrician,TR09,North,T2,11,173.0,4,5,0.589,0.34,8,True,Uprise-D3
HCP00703,Obstetrician-Gynecologist,TR31,East,T1,15,113.0,5,3,0.183,0.392,4,True,Uprise-D3
HCP00704,Pediatrician,TR36,East,T2,6,339.0,5,3,0.18,0.541,7,False,Ultra D3
HCP00705,Neonatologist,TR14,West,T1,34,125.0,5,3,0.2,0.43,4,True,Kidrich D3 Nano
HCP00706,Pediatrician,TR26,South,T1,9,503.0,5,4,0.482,0.646,5,True,Uprise-D3
HCP00707,Obstetrician-Gynecologist,TR31,East,T1,7,75.0,4,4,0.481,0.57,12,True,Kidrich D3 Nano
HCP00708,Pediatrician,TR01,North,T1,22,427.0,5,3,0.102,0.063,4,False,Kidrich D3 Nano
HCP00709,Obstetrician-Gynecologist,TR32,East,T3,27,152.0,4,3,0.133,0.353,5,False,Other / Generic
HCP00710,Obstetrician-Gynecologist,TR18,West,T3,10,166.0,4,3,0.084,0.51,3,False,Ultra D3
HCP00711,Pediatrician,TR21,Central,T3,13,216.0,3,5,0.751,0.514,7,True,No alternative (DePURA loyal)
HCP00712,Pediatrician,TR20,Central,T2,6,548.0,3,4,0.542,0.67,6,False,Other / Generic
HCP00713,Obstetrician-Gynecologist,TR10,North,T2,30,74.0,4,4,0.209,0.368,13,False,Arachitol Kids
HCP00714,General Practitioner,TR28,South,T1,7,222.0,3,2,0.031,0.565,4,False,Arachitol Kids
HCP00715,General Practitioner,TR26,South,T1,8,112.0,3,3,0.147,0.609,3,True,Arachitol Kids
HCP00716,Pediatrician,TR03,North,T2,14,389.0,4,5,0.698,0.443,4,True,Ultra D3
HCP00717,Obstetrician-Gynecologist,TR21,Central,T3,7,123.0,4,4,0.076,0.315,3,False,Uprise-D3
HCP00718,General Practitioner,TR34,East,T3,13,215.0,4,3,0.025,0.672,0,False,Other / Generic
HCP00719,Pediatrician,TR31,East,T1,3,381.0,4,4,0.258,0.548,8,False,Arachitol Kids
HCP00720,Pediatrician,TR24,South,T1,39,475.0,5,4,0.341,0.424,3,False,Kidrich D3 Nano
HCP00721,Pediatrician,TR08,North,T2,13,408.0,4,4,0.511,0.341,10,True,D3 Must Forte
HCP00722,Obstetrician-Gynecologist,TR14,West,T1,10,282.0,4,4,0.342,0.746,6,True,Ultra D3
HCP00723,Obstetrician-Gynecologist,TR05,North,T2,9,170.0,5,4,0.303,0.797,3,False,Kidrich D3 Nano
HCP00724,Pediatrician,TR29,South,T2,19,729.0,2,5,0.431,0.636,2,True,Ultra D3
HCP00725,Pediatrician,TR28,South,T1,9,527.0,4,3,0.209,0.516,10,True,Kidrich D3 Nano
HCP00726,Pediatrician,TR32,East,T3,11,375.0,5,4,0.712,0.447,11,True,Arachitol Kids
HCP00727,Pediatrician,TR02,North,T1,10,592.0,3,4,0.157,0.517,12,False,Arachitol Kids
HCP00728,Neonatologist,TR35,East,T2,23,206.0,4,3,0.086,0.19,3,False,Uprise-D3
HCP00729,General Practitioner,TR35,East,T2,6,337.0,3,3,0.087,0.59,6,False,Other / Generic
HCP00730,Pediatrician,TR24,South,T1,5,350.0,4,4,0.371,0.733,6,False,Uprise-D3
HCP00731,Pediatrician,TR31,East,T1,21,594.0,4,3,0.396,0.409,7,True,Kidrich D3 Nano
HCP00732,Pediatrician,TR16,West,T1,29,409.0,4,4,0.402,0.341,1,True,Uprise-D3
HCP00733,General Practitioner,TR13,West,T1,11,240.0,3,3,0.063,0.68,5,False,Arachitol Kids
HCP00734,Pediatrician,TR05,North,T2,7,159.0,3,4,0.188,0.711,4,False,Uprise-D3
HCP00735,Pediatrician,TR01,North,T1,4,347.0,4,4,0.733,0.748,5,True,No alternative (DePURA loyal)
HCP00736,Neonatologist,TR01,North,T1,8,214.0,3,4,0.501,0.547,5,True,Ultra D3
HCP00737,General Practitioner,TR26,South,T1,7,184.0,3,4,0.22,0.578,4,False,Uprise-D3
HCP00738,Obstetrician-Gynecologist,TR13,West,T1,9,163.0,5,4,0.056,0.65,5,False,Arachitol Kids
HCP00739,Pediatrician,TR01,North,T1,8,204.0,4,4,0.122,0.604,4,False,Arachitol Kids
HCP00740,Pediatrician,TR03,North,T2,19,205.0,5,5,0.193,0.32,6,False,Kidrich D3 Nano
HCP00741,Obstetrician-Gynecologist,TR24,South,T1,9,77.0,4,4,0.289,0.449,6,False,Arachitol Kids
HCP00742,Obstetrician-Gynecologist,TR33,East,T2,4,83.0,4,3,0.104,0.646,7,False,D3 Must Forte
HCP00743,General Practitioner,TR15,West,T2,10,168.0,3,4,0.185,0.67,2,False,D3 Must Forte
HCP00744,General Practitioner,TR28,South,T1,6,331.0,2,3,0.034,0.783,5,False,D3 Must Forte
HCP00745,Pediatrician,TR35,East,T2,10,476.0,4,5,0.653,0.725,6,True,Ultra D3
HCP00746,General Practitioner,TR26,South,T1,2,281.0,4,3,0.227,0.563,2,True,Arachitol Kids
HCP00747,Pediatrician,TR26,South,T1,7,216.0,5,3,0.183,0.571,3,False,Kidrich D3 Nano
HCP00748,Pediatrician,TR23,South,T1,21,880.0,5,4,0.289,0.385,8,False,Kidrich D3 Nano
HCP00749,Pediatrician,TR36,East,T2,5,386.0,3,4,0.751,0.397,10,True,D3 Must Forte
HCP00750,Pediatrician,TR12,West,T1,10,214.0,4,3,0.353,0.368,3,True,Kidrich D3 Nano
HCP00751,Pediatrician,TR28,South,T1,14,292.0,5,4,0.45,0.529,7,True,Arachitol Kids
HCP00752,Pediatrician,TR15,West,T2,32,280.0,5,4,0.303,0.365,7,False,Arachitol Kids
HCP00753,Pediatrician,TR05,North,T2,12,209.0,5,4,0.597,0.515,9,True,Kidrich D3 Nano
HCP00754,Obstetrician-Gynecologist,TR27,South,T2,28,92.0,5,3,0.059,0.348,1,False,Ultra D3
HCP00755,Neonatologist,TR29,South,T2,34,206.0,3,5,0.42,0.183,3,False,D3 Must Forte
HCP00756,Pediatrician,TR31,East,T1,3,362.0,3,4,0.673,0.841,6,True,No alternative (DePURA loyal)
HCP00757,Pediatrician,TR33,East,T2,5,286.0,4,4,0.187,0.716,5,False,D3 Must Forte
HCP00758,Obstetrician-Gynecologist,TR27,South,T2,23,81.0,4,4,0.416,0.59,5,True,D3 Must Forte
HCP00759,Pediatrician,TR19,Central,T2,40,523.0,4,3,0.232,0.208,10,True,Arachitol Kids
HCP00760,General Practitioner,TR33,East,T2,9,136.0,4,3,0.137,0.845,6,False,Arachitol Kids
HCP00761,Pediatrician,TR09,North,T2,26,222.0,3,4,0.282,0.618,5,True,D3 Must Forte
HCP00762,General Practitioner,TR02,North,T1,12,163.0,4,3,0.026,0.534,4,False,Uprise-D3
HCP00763,Pediatrician,TR16,West,T1,19,316.0,4,3,0.183,0.566,5,False,Arachitol Kids
HCP00764,General Practitioner,TR23,South,T1,13,156.0,4,3,0.059,0.956,7,False,Uprise-D3
HCP00765,Pediatrician,TR25,South,T3,8,278.0,5,2,0.09,0.514,6,False,Ultra D3
HCP00766,Pediatrician,TR28,South,T1,33,315.0,5,2,0.047,0.479,5,False,Uprise-D3
HCP00767,Pediatrician,TR01,North,T1,19,453.0,4,4,0.212,0.487,6,True,Arachitol Kids
HCP00768,Pediatrician,TR28,South,T1,8,489.0,5,4,0.476,0.645,9,True,Kidrich D3 Nano
HCP00769,Neonatologist,TR23,South,T1,11,215.0,3,4,0.113,0.403,2,False,Arachitol Kids
HCP00770,Pediatrician,TR34,East,T3,34,139.0,3,2,0.239,0.132,6,True,Uprise-D3
HCP00771,Pediatrician,TR14,West,T1,37,376.0,3,4,0.248,0.193,6,True,Uprise-D3
HCP00772,General Practitioner,TR23,South,T1,10,159.0,5,3,0.053,0.381,11,False,Arachitol Kids
HCP00773,Pediatrician,TR28,South,T1,14,124.0,5,4,0.098,0.362,3,False,Other / Generic
HCP00774,Obstetrician-Gynecologist,TR19,Central,T2,19,148.0,4,3,0.068,0.354,8,False,D3 Must Forte
HCP00775,Obstetrician-Gynecologist,TR05,North,T2,13,117.0,4,3,0.041,0.296,4,True,Arachitol Kids
HCP00776,Pediatrician,TR01,North,T1,26,422.0,5,3,0.241,,6,False,Arachitol Kids
HCP00777,General Practitioner,TR03,North,T2,9,137.0,3,4,0.078,0.535,9,False,Ultra D3
HCP00778,General Practitioner,TR18,West,T3,22,111.0,3,2,0.014,0.448,12,False,Other / Generic
HCP00779,Pediatrician,TR24,South,T1,5,255.0,4,4,0.25,0.813,3,False,Uprise-D3
HCP00780,General Practitioner,TR22,Central,T3,13,70.0,4,3,0.291,0.531,3,True,Ultra D3
HCP00781,Pediatrician,TR26,South,T1,8,428.0,5,3,0.132,0.713,2,False,Uprise-D3
HCP00782,Pediatrician,TR01,North,T1,5,340.0,4,4,0.279,0.643,4,True,Ultra D3
HCP00783,General Practitioner,TR04,North,T2,6,150.0,2,4,0.074,0.727,6,False,Ultra D3
HCP00784,General Practitioner,TR27,South,T2,8,101.0,4,4,0.334,0.416,1,True,Other / Generic
HCP00785,General Practitioner,TR28,South,T1,24,154.0,4,3,0.144,0.715,7,False,Ultra D3
HCP00786,Pediatrician,TR26,South,T1,18,491.0,3,3,0.16,0.46,3,True,Uprise-D3
HCP00787,General Practitioner,TR27,South,T2,22,90.0,2,4,0.157,0.285,6,False,Ultra D3
HCP00788,Pediatrician,TR35,East,T2,15,271.0,5,4,0.279,0.764,7,False,Arachitol Kids
HCP00789,General Practitioner,TR34,East,T3,7,65.0,4,4,0.078,0.66,4,False,Ultra D3
HCP00790,Pediatrician,TR24,South,T1,11,210.0,5,5,0.63,0.375,3,True,Arachitol Kids
HCP00791,Pediatrician,TR13,West,T1,14,608.0,3,4,0.581,0.527,8,True,Other / Generic
HCP00792,Pediatrician,TR01,North,T1,15,838.0,5,4,0.536,0.499,5,True,Ultra D3
HCP00793,Pediatrician,TR24,South,T1,14,316.0,4,4,0.147,0.658,5,True,Arachitol Kids
HCP00794,Pediatrician,TR16,West,T1,6,281.0,3,4,0.597,0.575,2,True,Other / Generic
HCP00795,Pediatrician,TR05,North,T2,11,248.0,4,3,0.137,0.621,4,False,Kidrich D3 Nano
HCP00796,Pediatrician,TR09,North,T2,18,347.0,4,3,0.29,0.59,6,True,Ultra D3
HCP00797,Pediatrician,TR33,East,T2,5,172.0,3,5,0.245,0.512,2,False,Other / Generic
HCP00798,Pediatrician,TR02,North,T1,3,254.0,4,3,0.332,0.704,6,True,D3 Must Forte
HCP00799,General Practitioner,TR28,South,T1,9,320.0,2,3,0.157,0.482,10,False,Arachitol Kids
HCP00800,Neonatologist,TR31,East,T1,32,199.0,5,3,0.096,0.261,5,True,Kidrich D3 Nano
HCP00801,Obstetrician-Gynecologist,TR25,South,T3,7,104.0,5,5,0.18,0.403,8,False,Arachitol Kids
HCP00802,Neonatologist,TR02,North,T1,4,266.0,3,4,0.126,0.567,3,False,Arachitol Kids
HCP00803,Neonatologist,TR30,South,T2,3,128.0,5,2,0.188,0.868,6,False,D3 Must Forte
HCP00804,Pediatrician,TR24,South,T1,34,415.0,4,4,0.429,0.383,3,True,Arachitol Kids
HCP00805,Pediatrician,TR12,West,T1,4,302.0,5,3,0.225,0.517,4,False,Kidrich D3 Nano
HCP00806,Pediatrician,TR24,South,T1,15,267.0,4,4,0.455,0.396,4,False,Uprise-D3
HCP00807,Pediatrician,TR04,North,T2,36,461.0,4,4,0.212,0.423,8,True,D3 Must Forte
HCP00808,Obstetrician-Gynecologist,TR26,South,T1,36,243.0,4,2,0.037,0.221,5,True,Uprise-D3
HCP00809,Obstetrician-Gynecologist,TR31,East,T1,14,242.0,3,4,0.239,0.521,7,True,Kidrich D3 Nano
HCP00810,General Practitioner,TR19,Central,T2,21,122.0,4,3,0.09,0.476,4,False,Kidrich D3 Nano
HCP00811,Obstetrician-Gynecologist,TR34,East,T3,12,114.0,5,4,0.338,0.409,3,True,Arachitol Kids
HCP00812,General Practitioner,TR16,West,T1,13,99.0,4,2,0.033,,3,False,Arachitol Kids
HCP00813,Pediatrician,TR30,South,T2,28,292.0,3,3,0.195,0.278,4,True,Ultra D3
HCP00814,Pediatrician,TR28,South,T1,11,533.0,5,4,0.434,,6,False,Arachitol Kids
HCP00815,Neonatologist,TR02,North,T1,13,345.0,4,3,0.108,0.499,7,False,D3 Must Forte
HCP00816,General Practitioner,TR32,East,T3,8,221.0,4,5,0.384,0.861,5,False,Uprise-D3
HCP00817,Pediatrician,TR32,East,T3,14,141.0,5,4,0.337,0.742,2,True,Other / Generic
HCP00818,Pediatrician,TR14,West,T1,20,289.0,5,4,0.359,0.284,7,False,Uprise-D3
HCP00819,General Practitioner,TR28,South,T1,11,148.0,4,4,0.289,0.498,6,False,Other / Generic
HCP00820,Obstetrician-Gynecologist,TR09,North,T2,13,136.0,5,3,0.114,0.368,5,True,Arachitol Kids
HCP00821,Pediatrician,TR01,North,T1,7,167.0,4,5,0.44,0.412,7,False,Arachitol Kids
HCP00822,Neonatologist,TR09,North,T2,11,211.0,3,4,0.153,0.609,6,False,D3 Must Forte
HCP00823,Pediatrician,TR17,West,T2,23,458.0,5,2,0.333,0.535,14,True,Arachitol Kids
HCP00824,Neonatologist,TR02,North,T1,24,131.0,4,2,0.146,0.57,3,True,Uprise-D3
HCP00825,General Practitioner,TR05,North,T2,9,181.0,4,3,0.028,0.7,7,False,D3 Must Forte
HCP00826,General Practitioner,TR34,East,T3,8,137.0,3,3,0.085,0.726,4,False,Uprise-D3
HCP00827,Obstetrician-Gynecologist,TR18,West,T3,23,127.0,4,2,0.043,0.875,6,False,D3 Must Forte
