hcp_id,specialty,territory_id,region,city_tier,monthly_patient_volume,recommendation_rate,digital_engagement,pre_recall_prescriber,hcp_segment
HCP00568,Pediatrician,TR12,West,T1,398.0,0.652,0.271,True,Low-opportunity
HCP00569,General Practitioner,TR18,West,T3,327.0,0.113,0.345,True,High-volume non/under-user
HCP00570,General Practitioner,TR01,North,T1,274.0,0.106,0.639,False,High-volume non/under-user
HCP00571,Pediatrician,TR16,West,T1,693.0,0.487,0.353,True,High-volume advocate
HCP00572,Neonatologist,TR08,North,T2,43.0,0.254,0.761,False,Low-opportunity
HCP00573,Neonatologist,TR27,South,T2,105.0,0.203,0.771,False,Low-opportunity
HCP00574,Pediatrician,TR27,South,T2,171.0,0.198,0.454,True,Low-opportunity
HCP00575,Pediatrician,TR23,South,T1,568.0,0.258,0.706,True,High-volume non/under-user
HCP00576,Obstetrician-Gynecologist,TR16,West,T1,338.0,0.049,0.488,False,High-volume non/under-user
HCP00577,Pediatrician,TR13,West,T1,412.0,0.354,0.781,False,Emerging
HCP00578,Neonatologist,TR29,South,T2,112.0,0.339,0.484,False,Low-opportunity
HCP00579,Pediatrician,TR18,West,T3,271.0,0.107,0.637,False,Low-opportunity
HCP00580,General Practitioner,TR18,West,T3,42.0,0.018,0.36,False,Low-opportunity
HCP00581,General Practitioner,TR03,North,T2,78.0,0.098,0.488,False,Low-opportunity
HCP00582,Pediatrician,TR09,North,T2,408.0,0.225,0.719,False,Emerging
HCP00583,General Practitioner,TR14,West,T1,184.0,0.198,0.473,False,Low-opportunity
HCP00584,Pediatrician,TR26,South,T1,196.0,0.629,0.464,True,Low-opportunity
HCP00585,Pediatrician,TR30,South,T2,148.0,0.128,0.501,True,Low-opportunity
HCP00586,Pediatrician,TR36,East,T2,319.0,0.159,0.37,False,Low-opportunity
HCP00587,Pediatrician,TR16,West,T1,454.0,0.08,0.873,False,High-volume non/under-user
HCP00588,Pediatrician,TR16,West,T1,111.0,0.467,0.282,True,Low-opportunity
HCP00589,Pediatrician,TR28,South,T1,393.0,0.184,0.593,False,Low-opportunity
HCP00590,Pediatrician,TR13,West,T1,405.0,0.215,0.62,True,Emerging
HCP00591,Pediatrician,TR20,Central,T2,601.0,0.307,0.339,True,High-volume non/under-user
HCP00592,Pediatrician,TR25,South,T3,341.0,0.414,0.901,False,Emerging
HCP00593,Obstetrician-Gynecologist,TR10,North,T2,36.0,0.041,0.714,False,Low-opportunity
HCP00594,Pediatrician,TR12,West,T1,284.0,0.154,0.578,False,Low-opportunity
HCP00595,General Practitioner,TR14,West,T1,317.0,0.067,0.171,False,High-volume non/under-user
HCP00596,Pediatrician,TR22,Central,T3,343.0,0.9,0.245,True,Low-opportunity
HCP00597,Pediatrician,TR12,West,T1,261.0,0.181,0.58,True,Low-opportunity
HCP00598,Pediatrician,TR09,North,T2,133.0,0.331,0.448,False,Low-opportunity
HCP00599,Pediatrician,TR05,North,T2,750.0,0.352,0.626,True,High-volume non/under-user
HCP00600,Pediatrician,TR28,South,T1,539.0,0.594,0.631,False,High-volume advocate
HCP00601,General Practitioner,TR31,East,T1,178.0,0.28,0.286,False,Low-opportunity
HCP00602,Pediatrician,TR32,East,T3,184.0,0.337,0.188,True,Low-opportunity
HCP00603,Pediatrician,TR29,South,T2,583.0,0.376,0.736,True,High-volume non/under-user
HCP00604,Obstetrician-Gynecologist,TR04,North,T2,49.0,0.047,0.785,False,Low-opportunity
HCP00605,Pediatrician,TR03,North,T2,209.0,0.357,0.559,True,Low-opportunity
HCP00606,General Practitioner,TR18,West,T3,488.0,0.063,0.734,False,High-volume non/under-user
HCP00607,General Practitioner,TR19,Central,T2,147.0,0.126,0.495,False,Low-opportunity
HCP00608,Pediatrician,TR26,South,T1,388.0,0.095,0.208,False,Low-opportunity
HCP00609,Pediatrician,TR09,North,T2,677.0,0.28,0.624,False,High-volume non/under-user
HCP00610,Pediatrician,TR33,East,T2,636.0,0.578,0.842,True,High-volume advocate
HCP00611,General Practitioner,TR13,West,T1,126.0,0.161,0.481,False,Low-opportunity
HCP00612,Neonatologist,TR22,Central,T3,124.0,0.447,0.56,True,Low-opportunity
HCP00613,Pediatrician,TR31,East,T1,584.0,0.188,0.567,False,High-volume non/under-user
HCP00614,Neonatologist,TR19,Central,T2,73.0,0.297,0.678,True,Low-opportunity
HCP00615,Pediatrician,TR27,South,T2,468.0,0.597,0.623,True,High-volume advocate
HCP00616,Pediatrician,TR27,South,T2,505.0,0.778,0.751,True,High-volume advocate
HCP00617,Pediatrician,TR28,South,T1,316.0,0.238,0.537,True,Low-opportunity
HCP00618,Neonatologist,TR28,South,T1,314.0,0.334,0.519,True,High-volume non/under-user
HCP00619,Pediatrician,TR14,West,T1,323.0,0.435,0.666,True,Emerging
HCP00620,General Practitioner,TR14,West,T1,255.0,0.174,0.879,False,High-volume non/under-user
HCP00621,Pediatrician,TR28,South,T1,124.0,0.377,0.637,False,Low-opportunity
HCP00622,Obstetrician-Gynecologist,TR22,Central,T3,58.0,0.258,0.534,True,Low-opportunity
HCP00623,Obstetrician-Gynecologist,TR23,South,T1,117.0,0.133,,True,Low-opportunity
HCP00624,General Practitioner,TR15,West,T2,179.0,0.014,0.566,False,Low-opportunity
HCP00625,General Practitioner,TR08,North,T2,93.0,0.099,0.779,False,Low-opportunity
HCP00626,Pediatrician,TR16,West,T1,585.0,0.205,0.548,True,High-volume non/under-user
HCP00627,Neonatologist,TR35,East,T2,128.0,0.252,0.667,True,Low-opportunity
HCP00628,General Practitioner,TR12,West,T1,213.0,0.086,0.787,True,High-volume non/under-user
HCP00629,Pediatrician,TR12,West,T1,262.0,0.406,0.641,True,Low-opportunity
HCP00630,Obstetrician-Gynecologist,TR04,North,T2,86.0,0.132,0.505,False,Low-opportunity
HCP00631,General Practitioner,TR16,West,T1,257.0,0.072,0.679,False,High-volume non/under-user
HCP00632,General Practitioner,TR12,West,T1,123.0,0.112,0.416,False,Low-opportunity
HCP00633,General Practitioner,TR25,South,T3,117.0,0.064,0.449,False,Low-opportunity
HCP00634,Pediatrician,TR04,North,T2,229.0,0.128,0.464,False,Low-opportunity
HCP00635,Pediatrician,TR10,North,T2,136.0,0.243,0.547,False,Low-opportunity
HCP00636,Pediatrician,TR02,North,T1,192.0,0.663,0.505,True,Low-opportunity
HCP00637,Obstetrician-Gynecologist,TR01,North,T1,85.0,0.024,0.506,False,Low-opportunity
HCP00638,General Practitioner,TR28,South,T1,97.0,0.187,0.354,False,Low-opportunity
HCP00639,Obstetrician-Gynecologist,TR32,East,T3,102.0,0.534,0.49,True,Low-opportunity
HCP00640,Pediatrician,TR27,South,T2,206.0,0.617,0.3,True,Low-opportunity
HCP00641,Neonatologist,TR31,East,T1,333.0,0.349,0.923,True,High-volume non/under-user
HCP00642,Pediatrician,TR02,North,T1,261.0,0.339,0.446,False,Low-opportunity
HCP00643,Pediatrician,TR31,East,T1,350.0,0.244,0.451,False,Low-opportunity
HCP00644,Neonatologist,TR16,West,T1,339.0,0.279,0.562,True,High-volume non/under-user
HCP00645,General Practitioner,TR28,South,T1,216.0,0.428,0.476,True,High-volume advocate
HCP00646,Neonatologist,TR23,South,T1,235.0,0.228,0.547,True,Low-opportunity
HCP00647,General Practitioner,TR14,West,T1,431.0,0.166,0.43,False,High-volume non/under-user
HCP00648,Pediatrician,TR11,North,T3,313.0,0.331,0.563,True,Low-opportunity
HCP00649,Pediatrician,TR04,North,T2,484.0,0.254,0.379,False,High-volume non/under-user
HCP00650,Obstetrician-Gynecologist,TR15,West,T2,146.0,0.025,0.454,False,Low-opportunity
HCP00651,Pediatrician,TR18,West,T3,158.0,0.353,0.255,True,Low-opportunity
HCP00652,General Practitioner,TR36,East,T2,68.0,0.056,0.76,False,Low-opportunity
HCP00653,Pediatrician,TR01,North,T1,354.0,0.177,0.345,False,Low-opportunity
HCP00654,Pediatrician,TR23,South,T1,231.0,0.201,0.676,False,Low-opportunity
HCP00655,Obstetrician-Gynecologist,TR19,Central,T2,122.0,0.058,0.365,False,Low-opportunity
HCP00656,Neonatologist,TR01,North,T1,247.0,0.416,0.456,True,Low-opportunity
HCP00657,Pediatrician,TR13,West,T1,289.0,0.118,0.422,False,Low-opportunity
HCP00658,Pediatrician,TR16,West,T1,337.0,0.344,0.588,False,Low-opportunity
HCP00659,Pediatrician,TR18,West,T3,275.0,0.497,0.738,True,Low-opportunity
HCP00660,Pediatrician,TR10,North,T2,635.0,0.339,0.341,True,High-volume non/under-user
HCP00661,Obstetrician-Gynecologist,TR01,North,T1,72.0,0.092,0.309,False,Low-opportunity
HCP00662,Pediatrician,TR12,West,T1,863.0,0.327,0.758,False,High-volume non/under-user
HCP00663,Pediatrician,TR29,South,T2,839.0,0.609,0.709,True,High-volume advocate
HCP00664,General Practitioner,TR28,South,T1,78.0,0.054,0.803,False,Low-opportunity
HCP00665,General Practitioner,TR07,North,T3,89.0,0.062,0.741,False,Low-opportunity
HCP00666,Pediatrician,TR24,South,T1,271.0,0.451,0.354,True,Low-opportunity
HCP00667,Obstetrician-Gynecologist,TR33,East,T2,99.0,0.634,0.861,True,Low-opportunity
HCP00668,Pediatrician,TR06,North,T2,545.0,0.709,0.497,True,High-volume advocate
HCP00669,Pediatrician,TR04,North,T2,181.0,0.552,0.627,True,Low-opportunity
HCP00670,Obstetrician-Gynecologist,TR01,North,T1,337.0,0.135,0.573,False,High-volume non/under-user
HCP00671,Pediatrician,TR06,North,T2,430.0,0.172,0.656,False,High-volume non/under-user
HCP00672,Neonatologist,TR28,South,T1,168.0,0.098,0.447,False,Low-opportunity
HCP00673,General Practitioner,TR28,South,T1,162.0,0.337,0.633,False,Emerging
HCP00674,Obstetrician-Gynecologist,TR20,Central,T2,176.0,0.34,0.517,True,High-volume non/under-user
HCP00675,Pediatrician,TR13,West,T1,281.0,0.29,,False,Low-opportunity
HCP00676,Pediatrician,TR28,South,T1,122.0,0.482,0.238,True,Low-opportunity
HCP00677,Obstetrician-Gynecologist,TR08,North,T2,117.0,0.332,0.734,False,Emerging
HCP00678,Obstetrician-Gynecologist,TR04,North,T2,110.0,0.217,0.519,False,Low-opportunity
HCP00679,Obstetrician-Gynecologist,TR02,North,T1,76.0,0.283,0.319,True,Low-opportunity
HCP00680,Pediatrician,TR30,South,T2,167.0,0.458,0.503,True,Low-opportunity
HCP00681,General Practitioner,TR26,South,T1,94.0,0.037,0.655,False,Low-opportunity
HCP00682,Pediatrician,TR24,South,T1,470.0,0.212,0.747,True,High-volume non/under-user
HCP00683,Pediatrician,TR26,South,T1,407.0,0.037,0.861,False,Emerging
HCP00684,Pediatrician,TR05,North,T2,198.0,0.694,0.766,True,Low-opportunity
HCP00685,General Practitioner,TR14,West,T1,146.0,0.017,0.721,False,Emerging
HCP00686,Pediatrician,TR28,South,T1,673.0,0.619,0.609,True,High-volume advocate
HCP00687,Pediatrician,TR32,East,T3,571.0,0.569,0.262,True,High-volume advocate
HCP00688,Obstetrician-Gynecologist,TR18,West,T3,163.0,0.334,0.86,True,High-volume non/under-user
HCP00689,Neonatologist,TR04,North,T2,110.0,0.16,0.487,False,Low-opportunity
HCP00690,Pediatrician,TR36,East,T2,187.0,0.278,0.628,True,Low-opportunity
HCP00691,Obstetrician-Gynecologist,TR14,West,T1,154.0,0.191,0.143,False,High-volume non/under-user
HCP00692,Obstetrician-Gynecologist,TR13,West,T1,165.0,0.135,0.675,False,High-volume non/under-user
HCP00693,Pediatrician,TR04,North,T2,411.0,0.663,0.591,True,Low-opportunity
HCP00694,General Practitioner,TR01,North,T1,266.0,0.084,0.513,False,High-volume non/under-user
HCP00695,Neonatologist,TR23,South,T1,227.0,0.094,0.651,False,Emerging
HCP00696,General Practitioner,TR23,South,T1,272.0,0.152,0.475,True,High-volume non/under-user
HCP00697,Pediatrician,TR10,North,T2,245.0,0.345,0.727,True,Low-opportunity
HCP00698,General Practitioner,TR05,North,T2,245.0,0.041,0.798,False,High-volume non/under-user
HCP00699,General Practitioner,TR19,Central,T2,328.0,0.117,0.718,False,High-volume non/under-user
HCP00700,General Practitioner,TR16,West,T1,130.0,0.055,0.378,True,Low-opportunity
HCP00701,Pediatrician,TR12,West,T1,269.0,0.271,,False,Low-opportunity
HCP00702,Pediatrician,TR09,North,T2,173.0,0.589,0.34,True,Low-opportunity
HCP00703,Obstetrician-Gynecologist,TR31,East,T1,113.0,0.183,0.392,True,Low-opportunity
HCP00704,Pediatrician,TR36,East,T2,339.0,0.18,0.541,False,Low-opportunity
HCP00705,Neonatologist,TR14,West,T1,125.0,0.2,0.43,True,Low-opportunity
HCP00706,Pediatrician,TR26,South,T1,503.0,0.482,0.646,True,High-volume advocate
HCP00707,Obstetrician-Gynecologist,TR31,East,T1,75.0,0.481,0.57,True,Low-opportunity
HCP00708,Pediatrician,TR01,North,T1,427.0,0.102,0.063,False,High-volume non/under-user
HCP00709,Obstetrician-Gynecologist,TR32,East,T3,152.0,0.133,0.353,False,High-volume non/under-user
HCP00710,Obstetrician-Gynecologist,TR18,West,T3,166.0,0.084,0.51,False,High-volume non/under-user
HCP00711,Pediatrician,TR21,Central,T3,216.0,0.751,0.514,True,Low-opportunity
HCP00712,Pediatrician,TR20,Central,T2,548.0,0.542,0.67,False,High-volume advocate
HCP00713,Obstetrician-Gynecologist,TR10,North,T2,74.0,0.209,0.368,False,Low-opportunity
HCP00714,General Practitioner,TR28,South,T1,222.0,0.031,0.565,False,High-volume non/under-user
HCP00715,General Practitioner,TR26,South,T1,112.0,0.147,0.609,True,Low-opportunity
HCP00716,Pediatrician,TR03,North,T2,389.0,0.698,0.443,True,Low-opportunity
HCP00717,Obstetrician-Gynecologist,TR21,Central,T3,123.0,0.076,0.315,False,Low-opportunity
HCP00718,General Practitioner,TR34,East,T3,215.0,0.025,0.672,False,High-volume non/under-user
HCP00719,Pediatrician,TR31,East,T1,381.0,0.258,0.548,False,Low-opportunity
HCP00720,Pediatrician,TR24,South,T1,475.0,0.341,0.424,False,High-volume non/under-user
HCP00721,Pediatrician,TR08,North,T2,408.0,0.511,0.341,True,Low-opportunity
HCP00722,Obstetrician-Gynecologist,TR14,West,T1,282.0,0.342,0.746,True,High-volume non/under-user
HCP00723,Obstetrician-Gynecologist,TR05,North,T2,170.0,0.303,0.797,False,High-volume non/under-user
HCP00724,Pediatrician,TR29,South,T2,729.0,0.431,0.636,True,High-volume advocate
HCP00725,Pediatrician,TR28,South,T1,527.0,0.209,0.516,True,High-volume non/under-user
HCP00726,Pediatrician,TR32,East,T3,375.0,0.712,0.447,True,Low-opportunity
HCP00727,Pediatrician,TR02,North,T1,592.0,0.157,0.517,False,High-volume non/under-user
HCP00728,Neonatologist,TR35,East,T2,206.0,0.086,0.19,False,Low-opportunity
HCP00729,General Practitioner,TR35,East,T2,337.0,0.087,0.59,False,High-volume non/under-user
HCP00730,Pediatrician,TR24,South,T1,350.0,0.371,0.733,False,Emerging
HCP00731,Pediatrician,TR31,East,T1,594.0,0.396,0.409,True,High-volume non/under-user
HCP00732,Pediatrician,TR16,West,T1,409.0,0.402,0.341,True,Low-opportunity
HCP00733,General Practitioner,TR13,West,T1,240.0,0.063,0.68,False,High-volume non/under-user
HCP00734,Pediatrician,TR05,North,T2,159.0,0.188,0.711,False,Low-opportunity
HCP00735,Pediatrician,TR01,North,T1,347.0,0.733,0.748,True,Emerging
HCP00736,Neonatologist,TR01,North,T1,214.0,0.501,0.547,True,Low-opportunity
HCP00737,General Practitioner,TR26,South,T1,184.0,0.22,0.578,False,Low-opportunity
HCP00738,Obstetrician-Gynecologist,TR13,West,T1,163.0,0.056,0.65,False,High-volume non/under-user
HCP00739,Pediatrician,TR01,North,T1,204.0,0.122,0.604,False,Low-opportunity
HCP00740,Pediatrician,TR03,North,T2,205.0,0.193,0.32,False,Low-opportunity
HCP00741,Obstetrician-Gynecologist,TR24,South,T1,77.0,0.289,0.449,False,Low-opportunity
HCP00742,Obstetrician-Gynecologist,TR33,East,T2,83.0,0.104,0.646,False,Low-opportunity
HCP00743,General Practitioner,TR15,West,T2,168.0,0.185,0.67,False,Emerging
HCP00744,General Practitioner,TR28,South,T1,331.0,0.034,0.783,False,High-volume non/under-user
HCP00745,Pediatrician,TR35,East,T2,476.0,0.653,0.725,True,High-volume advocate
HCP00746,General Practitioner,TR26,South,T1,281.0,0.227,0.563,True,High-volume non/under-user
HCP00747,Pediatrician,TR26,South,T1,216.0,0.183,0.571,False,Low-opportunity
HCP00748,Pediatrician,TR23,South,T1,880.0,0.289,0.385,False,High-volume non/under-user
HCP00749,Pediatrician,TR36,East,T2,386.0,0.751,0.397,True,Low-opportunity
HCP00750,Pediatrician,TR12,West,T1,214.0,0.353,0.368,True,Low-opportunity
HCP00751,Pediatrician,TR28,South,T1,292.0,0.45,0.529,True,Low-opportunity
HCP00752,Pediatrician,TR15,West,T2,280.0,0.303,0.365,False,Low-opportunity
HCP00753,Pediatrician,TR05,North,T2,209.0,0.597,0.515,True,Low-opportunity
HCP00754,Obstetrician-Gynecologist,TR27,South,T2,92.0,0.059,0.348,False,Low-opportunity
HCP00755,Neonatologist,TR29,South,T2,206.0,0.42,0.183,False,Low-opportunity
HCP00756,Pediatrician,TR31,East,T1,362.0,0.673,0.841,True,Emerging
HCP00757,Pediatrician,TR33,East,T2,286.0,0.187,0.716,False,Low-opportunity
HCP00758,Obstetrician-Gynecologist,TR27,South,T2,81.0,0.416,0.59,True,Low-opportunity
HCP00759,Pediatrician,TR19,Central,T2,523.0,0.232,0.208,True,High-volume non/under-user
HCP00760,General Practitioner,TR33,East,T2,136.0,0.137,0.845,False,Emerging
HCP00761,Pediatrician,TR09,North,T2,222.0,0.282,0.618,True,Low-opportunity
HCP00762,General Practitioner,TR02,North,T1,163.0,0.026,0.534,False,Low-opportunity
HCP00763,Pediatrician,TR16,West,T1,316.0,0.183,0.566,False,Low-opportunity
HCP00764,General Practitioner,TR23,South,T1,156.0,0.059,0.956,False,Emerging
HCP00765,Pediatrician,TR25,South,T3,278.0,0.09,0.514,False,Low-opportunity
HCP00766,Pediatrician,TR28,South,T1,315.0,0.047,0.479,False,Low-opportunity
HCP00767,Pediatrician,TR01,North,T1,453.0,0.212,0.487,True,High-volume non/under-user
HCP00768,Pediatrician,TR28,South,T1,489.0,0.476,0.645,True,High-volume advocate
HCP00769,Neonatologist,TR23,South,T1,215.0,0.113,0.403,False,Low-opportunity
HCP00770,Pediatrician,TR34,East,T3,139.0,0.239,0.132,True,Low-opportunity
HCP00771,Pediatrician,TR14,West,T1,376.0,0.248,0.193,True,Low-opportunity
HCP00772,General Practitioner,TR23,South,T1,159.0,0.053,0.381,False,Low-opportunity
HCP00773,Pediatrician,TR28,South,T1,124.0,0.098,0.362,False,Low-opportunity
HCP00774,Obstetrician-Gynecologist,TR19,Central,T2,148.0,0.068,0.354,False,Low-opportunity
HCP00775,Obstetrician-Gynecologist,TR05,North,T2,117.0,0.041,0.296,True,Low-opportunity
HCP00776,Pediatrician,TR01,North,T1,422.0,0.241,,False,High-volume non/under-user
HCP00777,General Practitioner,TR03,North,T2,137.0,0.078,0.535,False,Low-opportunity
HCP00778,General Practitioner,TR18,West,T3,111.0,0.014,0.448,False,Low-opportunity
HCP00779,Pediatrician,TR24,South,T1,255.0,0.25,0.813,False,Low-opportunity
HCP00780,General Practitioner,TR22,Central,T3,70.0,0.291,0.531,True,Low-opportunity
HCP00781,Pediatrician,TR26,South,T1,428.0,0.132,0.713,False,High-volume non/under-user
HCP00782,Pediatrician,TR01,North,T1,340.0,0.279,0.643,True,Emerging
HCP00783,General Practitioner,TR04,North,T2,150.0,0.074,0.727,False,Emerging
HCP00784,General Practitioner,TR27,South,T2,101.0,0.334,0.416,True,Low-opportunity
HCP00785,General Practitioner,TR28,South,T1,154.0,0.144,0.715,False,Emerging
HCP00786,Pediatrician,TR26,South,T1,491.0,0.16,0.46,True,High-volume non/under-user
HCP00787,General Practitioner,TR27,South,T2,90.0,0.157,0.285,False,Low-opportunity
HCP00788,Pediatrician,TR35,East,T2,271.0,0.279,0.764,False,Low-opportunity
HCP00789,General Practitioner,TR34,East,T3,65.0,0.078,0.66,False,Low-opportunity
HCP00790,Pediatrician,TR24,South,T1,210.0,0.63,0.375,True,Low-opportunity
HCP00791,Pediatrician,TR13,West,T1,608.0,0.581,0.527,True,High-volume advocate
HCP00792,Pediatrician,TR01,North,T1,838.0,0.536,0.499,True,High-volume advocate
HCP00793,Pediatrician,TR24,South,T1,316.0,0.147,0.658,True,Emerging
HCP00794,Pediatrician,TR16,West,T1,281.0,0.597,0.575,True,Low-opportunity
HCP00795,Pediatrician,TR05,North,T2,248.0,0.137,0.621,False,Low-opportunity
HCP00796,Pediatrician,TR09,North,T2,347.0,0.29,0.59,True,Low-opportunity
HCP00797,Pediatrician,TR33,East,T2,172.0,0.245,0.512,False,Low-opportunity
HCP00798,Pediatrician,TR02,North,T1,254.0,0.332,0.704,True,Low-opportunity
HCP00799,General Practitioner,TR28,South,T1,320.0,0.157,0.482,False,High-volume non/under-user
HCP00800,Neonatologist,TR31,East,T1,199.0,0.096,0.261,True,Low-opportunity
HCP00801,Obstetrician-Gynecologist,TR25,South,T3,104.0,0.18,0.403,False,Low-opportunity
HCP00802,Neonatologist,TR02,North,T1,266.0,0.126,0.567,False,Low-opportunity
HCP00803,Neonatologist,TR30,South,T2,128.0,0.188,0.868,False,Low-opportunity
HCP00804,Pediatrician,TR24,South,T1,415.0,0.429,0.383,True,Low-opportunity
HCP00805,Pediatrician,TR12,West,T1,302.0,0.225,0.517,False,Low-opportunity
HCP00806,Pediatrician,TR24,South,T1,267.0,0.455,0.396,False,Low-opportunity
HCP00807,Pediatrician,TR04,North,T2,461.0,0.212,0.423,True,High-volume non/under-user
HCP00808,Obstetrician-Gynecologist,TR26,South,T1,243.0,0.037,0.221,True,High-volume non/under-user
HCP00809,Obstetrician-Gynecologist,TR31,East,T1,242.0,0.239,0.521,True,High-volume non/under-user
HCP00810,General Practitioner,TR19,Central,T2,122.0,0.09,0.476,False,Low-opportunity
HCP00811,Obstetrician-Gynecologist,TR34,East,T3,114.0,0.338,0.409,True,Low-opportunity
HCP00812,General Practitioner,TR16,West,T1,99.0,0.033,,False,Low-opportunity
HCP00813,Pediatrician,TR30,South,T2,292.0,0.195,0.278,True,Low-opportunity
HCP00814,Pediatrician,TR28,South,T1,533.0,0.434,,False,High-volume advocate
HCP00815,Neonatologist,TR02,North,T1,345.0,0.108,0.499,False,High-volume non/under-user
HCP00816,General Practitioner,TR32,East,T3,221.0,0.384,0.861,False,High-volume non/under-user
HCP00817,Pediatrician,TR32,East,T3,141.0,0.337,0.742,True,Low-opportunity
HCP00818,Pediatrician,TR14,West,T1,289.0,0.359,0.284,False,Low-opportunity
HCP00819,General Practitioner,TR28,South,T1,148.0,0.289,0.498,False,Low-opportunity
HCP00820,Obstetrician-Gynecologist,TR09,North,T2,136.0,0.114,0.368,True,Low-opportunity
HCP00821,Pediatrician,TR01,North,T1,167.0,0.44,0.412,False,Low-opportunity
HCP00822,Neonatologist,TR09,North,T2,211.0,0.153,0.609,False,Emerging
HCP00823,Pediatrician,TR17,West,T2,458.0,0.333,0.535,True,High-volume non/under-user
HCP00824,Neonatologist,TR02,North,T1,131.0,0.146,0.57,True,Low-opportunity
HCP00825,General Practitioner,TR05,North,T2,181.0,0.028,0.7,False,Emerging
HCP00826,General Practitioner,TR34,East,T3,137.0,0.085,0.726,False,Emerging
HCP00827,Obstetrician-Gynecologist,TR18,West,T3,127.0,0.043,0.875,False,Emerging
HCP00828,Obstetrician-Gynecologist,TR29,South,T2,71.0,0.069,0.524,False,Low-opportunity
HCP00829,Pediatrician,TR09,North,T2,185.0,0.129,0.657,False,Low-opportunity
HCP00830,Obstetrician-Gynecologist,TR02,North,T1,85.0,0.026,0.489,False,Low-opportunity
HCP00831,Pediatrician,TR28,South,T1,844.0,0.139,0.694,False,High-volume non/under-user
HCP00832,Pediatrician,TR14,West,T1,417.0,0.099,0.94,False,Emerging
HCP00833,General Practitioner,TR16,West,T1,112.0,0.079,0.647,False,Low-opportunity
HCP00834,Pediatrician,TR36,East,T2,547.0,0.397,0.674,True,High-volume non/under-user
HCP00835,Pediatrician,TR13,West,T1,265.0,0.214,0.604,True,Low-opportunity
HCP00836,Pediatrician,TR16,West,T1,342.0,0.516,0.448,True,Low-opportunity
HCP00837,Pediatrician,TR24,South,T1,463.0,0.269,0.592,True,High-volume non/under-user
HCP00838,Pediatrician,TR02,North,T1,356.0,0.128,0.599,False,Low-opportunity
HCP00839,General Practitioner,TR26,South,T1,136.0,0.248,0.426,False,Low-opportunity
HCP00840,Pediatrician,TR16,West,T1,280.0,0.334,0.683,True,Low-opportunity
HCP00841,General Practitioner,TR06,North,T2,182.0,0.075,0.648,True,Emerging
HCP00842,Pediatrician,TR16,West,T1,291.0,0.291,0.682,True,Low-opportunity
HCP00843,Pediatrician,TR16,West,T1,376.0,0.192,0.631,False,Emerging
HCP00844,Pediatrician,TR24,South,T1,164.0,0.491,1.0,True,Low-opportunity
HCP00845,Pediatrician,TR33,East,T2,820.0,0.314,0.24,False,High-volume non/under-user
HCP00846,Obstetrician-Gynecologist,TR28,South,T1,75.0,0.122,0.494,True,Low-opportunity
HCP00847,Neonatologist,TR14,West,T1,207.0,0.612,0.335,True,Low-opportunity
HCP00848,Pediatrician,TR35,East,T2,262.0,0.483,0.685,True,Low-opportunity
HCP00849,Pediatrician,TR28,South,T1,342.0,0.298,0.073,False,Low-opportunity
HCP00850,General Practitioner,TR01,North,T1,207.0,0.149,0.604,False,High-volume non/under-user
HCP00851,Pediatrician,TR04,North,T2,289.0,0.523,0.522,True,Low-opportunity
HCP00852,Pediatrician,TR09,North,T2,294.0,0.089,0.54,True,Low-opportunity
HCP00853,Pediatrician,TR02,North,T1,658.0,0.127,1.0,True,High-volume non/under-user
HCP00854,General Practitioner,TR17,West,T2,359.0,0.314,0.437,True,High-volume non/under-user
HCP00855,Pediatrician,TR13,West,T1,580.0,0.492,0.588,True,High-volume advocate
HCP00856,Obstetrician-Gynecologist,TR35,East,T2,117.0,0.217,0.428,True,Low-opportunity
HCP00857,Pediatrician,TR16,West,T1,345.0,0.359,0.525,True,Low-opportunity
HCP00858,Pediatrician,TR09,North,T2,611.0,0.153,0.781,False,High-volume non/under-user
HCP00859,Neonatologist,TR35,East,T2,116.0,0.206,0.562,True,Low-opportunity
HCP00860,Pediatrician,TR18,West,T3,259.0,0.492,0.738,True,Low-opportunity
HCP00861,Pediatrician,TR02,North,T1,722.0,0.149,0.353,True,High-volume non/under-user
HCP00862,Pediatrician,TR02,North,T1,285.0,0.451,0.406,True,Low-opportunity
HCP00863,General Practitioner,TR24,South,T1,74.0,0.234,0.381,False,Low-opportunity
HCP00864,General Practitioner,TR18,West,T3,143.0,0.143,0.688,False,Emerging
HCP00865,Pediatrician,TR24,South,T1,422.0,0.756,0.877,True,High-volume advocate
HCP00866,Pediatrician,TR30,South,T2,488.0,0.667,0.796,True,High-volume advocate
HCP00867,Pediatrician,TR25,South,T3,147.0,0.087,0.745,False,Low-opportunity
HCP00868,Pediatrician,TR31,East,T1,501.0,0.181,0.419,False,High-volume non/under-user
HCP00869,Pediatrician,TR27,South,T2,303.0,0.237,0.35,False,Low-opportunity
HCP00870,Pediatrician,TR24,South,T1,263.0,0.392,0.662,True,Low-opportunity
HCP00871,Pediatrician,TR04,North,T2,402.0,0.257,0.571,False,Low-opportunity
HCP00872,General Practitioner,TR17,West,T2,45.0,0.123,0.425,False,Low-opportunity
HCP00873,General Practitioner,TR16,West,T1,151.0,0.098,0.771,False,Emerging
HCP00874,General Practitioner,TR20,Central,T2,35.0,0.023,0.48,False,Low-opportunity
HCP00875,General Practitioner,TR14,West,T1,130.0,0.067,0.796,False,Low-opportunity
